reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
27723ced-9f2d-41ac-8611-5a9913e89713,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ini adira gimana sih,saya mau lihat kontrak saya aja ko susah banget,dibikin gampang lah ,kaya tetangga , login,masukan no kotrak udah transparan tuh",1,0,2.20.1,2025-01-04 12:26:34,,,2.20.1
48a85e3d-0759-4635-b640-228f0a84b7b3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Oke,5,0,2.20.1,2025-01-04 09:27:43,,,2.20.1
8960f04f-96f0-4da7-bec7-5a6c01e472f0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Buruk,1,0,,2025-01-03 22:07:20,,,
d1b15dbc-48ee-4e2f-8297-6ea7093a53b7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tahun 2024 sampai 2025 bukannya di perbaiki ni aplikasi malah tetap eror belum ada kontrak aktif ,udah kasih tau petugasnya malah bilang eror aja 🗿",1,0,2.20.1,2025-01-03 21:10:10,,,2.20.1
aa54f93d-92c1-4ec6-8488-2c27e4d9c566,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kontrak tidak muncul di aplikasi,2,0,2.20.1,2025-01-03 18:57:38,,,2.20.1
3d54dfca-e2b2-4c29-838b-7cdc6d9fd1fb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pembayaran yg mudah tidak perlu ke kantor lagi,dan selalu dapet poin buat discount 😂🙏",5,0,,2025-01-03 18:48:55,,,
12e0adc2-0683-4632-b16b-dc7b52d5d60c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Makasih Adiraku,5,0,2.20.1,2025-01-03 18:21:58,,,2.20.1
9042e358-b21b-4df4-945e-4545def08f00,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Denda Adira selalu memberatkan konsumen,selalu uang mendesak,uang haram menjadi halal untuk denda nya terlalu berat sekali,selalu memakan orang yang lemah,klo orang besar dia takut ,Karana ada orang dalam dia pasti tunduk.👎",1,0,2.20.1,2025-01-03 15:11:25,"Salam Sahabat Bapak Syafrizal, mohon maaf atas ketidaknyamanannya. Kami ingin mengetahui lebih jauh mengenai kendala ini, mohon untuk informasikan detail kendala maupun respon yang Bapak alami ke Dering Adira Finane 1500511 / email screenshot erorrnya ke customercare@adira.co.id agar dapat kami tindaklanjuti. Terima kasih",2025-01-03 15:42:20,2.20.1
522caa81-60ff-43e6-a242-736efdb426d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,2.20.1,2025-01-03 11:58:03,"Salam Sahabat Bapak Suherman Ebhot, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 13:02:16,2.20.1
ab9043cc-06c8-4a98-80b4-f9e5644d43fb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lebih cepat dan aman,5,0,2.20.1,2025-01-03 08:17:53,"Salam Sahabat Bapak zaini muhammad, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 09:23:36,2.20.1
cc419b17-3986-4c51-a7d2-d6a2a344ce4a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semoga bermanfaat,5,0,2.20.1,2025-01-03 07:14:20,"Salam Sahabat Bapak deiry nugraha01, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 09:22:00,2.20.1
3c6ff02d-1a6e-4321-8d71-60ce6f356559,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengajuan mudah,5,0,2.20.1,2025-01-02 23:24:24,"Salam Sahabat Bapak Krisna Putra (Raviel), terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 09:20:49,2.20.1
1d22584e-e7f9-4806-9c93-7ebcff9ca67c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,,2025-01-02 22:36:18,"Salam Sahabat Ibu Elfi Lutfiati, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Ibu.",2025-01-03 09:19:31,
3965f147-2ec2-4f24-8a6a-ae11a46ec05b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok mantap,5,0,2.20.1,2025-01-02 22:15:08,"Salam Sahabat Bapak prahara muzy, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 09:17:41,2.20.1
e82ac08c-6ed1-4bc6-a26b-434bb6047e45,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"dapet poin diadira katanya bisa ditukar, habis ditukar voucher belanja katanya gabisa dipake, aplikasi ga jelas",1,0,2.20.1,2025-01-02 19:47:21,"Salam Sahabat Ibu Icha Kartika, mohon maaf atas ketidaknyamanannya. Kami ingin mengetahui lebih jauh mengenai kendala ini, mohon untuk informasikan detail kendala maupun respon yang Ibu alami ke Dering Adira Finance 1500511/email screenshot erornya ke customercare@adira.co.id agar dapat kami tindaklanjuti. Terima kasih",2025-01-03 09:16:09,2.20.1
4d9e1c6d-78d3-4496-a95d-7e87b0d55e31,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Siip,5,0,2.20.1,2025-01-02 18:00:53,"Salam Sahabat Bapak Tio, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-03 09:13:24,2.20.1
4abaf46d-b484-4816-a511-43b57b5f5884,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jadi lebih mudah membayar angsuran,5,0,2.20.1,2025-01-02 17:39:21,"Salam Sahabat Ibu Ghania Rahmania, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Ibu.",2025-01-03 09:12:24,2.20.1
5b87b0ef-5f69-4ba5-b7c9-dfa66ab8de77,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Keren,5,0,2.20.1,2025-01-02 13:35:02,"Salam Sahabat Bapak Ogay Texas, terima kasih atas ulasannya. Semoga aplikasi Adiraku senantiasa memberikan manfaat bagi kebutuhan Bapak.",2025-01-02 14:35:35,2.20.1
